signal_date,ticker,name,market,traded_value_rank_20d,traded_value_rank_60d,layer1_quality_floor_risk_pctile_by_week,RS20,RS60,BIAS60,drawdown_60d,drawdown_120d,BIAS60_percentile,layer1_pass_bottom30,volatility_pctile_by_week,layer4_broad_opportunity_net_score,layer4_risk_aware_score,pool_rank,weighted_score,route_support_variant_count,route_support_variant_flags,route_support_mode_flags,rs20_momentum_component,bias60_overheat_penalty_component,volatility_risk_penalty_component,quality_support_component,low_base_bonus_component,route_support_bonus_component,route_support_source_quality,risk_adjusted_rs20_score,score_formula,future_return_used
2015-01-09,2330,台積電,TWSE,1.0,1.0,0.5016666666666667,,,,,,,True,,0.3747209333333333,0.4359781813333332,1,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2454,聯發科,TWSE,2.0,2.0,0.5016666666666667,,,,,,,True,,0.37426292664437,0.4356362244102563,2,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,3481,群創,TWSE,3.0,3.0,0.5016666666666667,,,,,,,True,,0.3738049199554069,0.4352942674871795,3,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2317,鴻海,TWSE,4.0,4.0,0.5016666666666667,,,,,,,True,,0.3733469132664436,0.4349523105641025,4,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2409,友達,TWSE,5.0,5.0,0.5016666666666667,,,,,,,True,,0.3728889065774804,0.4346103536410255,5,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,3474,華亞科,TWSE,6.0,6.0,0.5016666666666667,,,,,,,True,,0.3724308998885172,0.4342683967179486,6,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,3008,大立光,TWSE,7.0,7.0,0.5016666666666667,,,,,,,True,,0.371972893199554,0.4339264397948718,7,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,3673,TPK-KY,TWSE,8.0,8.0,0.5016666666666667,,,,,,,True,,0.3715148865105908,0.4335844828717948,8,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2498,宏達電,TWSE,9.0,9.0,0.5016666666666667,,,,,,,True,,0.3710568798216275,0.4332425259487178,9,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2474,可成,TWSE,10.0,10.0,0.5016666666666667,,,,,,,True,,0.3705988731326644,0.432900569025641,10,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
2015-01-09,2408,南亞科,TWSE,11.0,11.0,0.5016666666666667,,,,,,,True,,0.3701408664437012,0.4325586121025641,11,,,,,0.0,0.5,0.5,0.4983333333333333,0.5,0.5,route_support_unavailable_for_candidate_neutral_component,-0.025133333333333334,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False
