baseline_compact_universe_row_id,snapshot_date,ticker,name,market,variant,scope_type,active_for_layer1_source_scope,selection_bucket,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,layer1_financial_risk_flag_count,layer1_quality_floor_risk_pctile_by_week,layer1_exclude_bottom20_candidate,layer1_exclude_bottom30_candidate,RS5,RS10,RS20,RS40,RS60,RS30_proxy,RS30_source_quality,rs5_minus_rs10,rs10_minus_rs20,rs20_minus_rs60,rs_short_acceleration_flag,rs_short_deterioration_flag,rs60_top20_by_week,rs60_high_short_rs_weakening_exhaustion_context,monthly_revenue_available,quarterly_fundamental_available,missing_core_fundamental_flag,BIAS20,drawdown_20d,BIAS60,drawdown_60d,BIAS120,drawdown_120d,volatility,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,capital_rank_improvement_20d_vs_60d,capital_rank_20d_improving_vs_60d,capital_rank_20d_deteriorating_vs_60d,capital_reasonable_band_4w_count,capital_reasonable_band_4w_persistent,pure_5d_burst_without_20d60d_confirmation,rs20_30_primary_momentum_positive,rs20_30_primary_momentum_stable,rs60_background_supportive,rs_exhaustion_warning_context,layer1_pass_bottom20,layer1_pass_bottom30,bias_overheat_penalty_context,volatility_pctile_by_week,volatility_high_context,risk_overheat_penalty_context,forward_excess_vs_0050_5d,forward_excess_vs_00631L_5d,forward_excess_vs_0050_10d,forward_excess_vs_00631L_10d,forward_excess_vs_0050_20d,forward_excess_vs_00631L_20d,forward_excess_vs_0050_30d,forward_excess_vs_00631L_30d,forward_excess_vs_0050_40d,forward_excess_vs_00631L_40d,forward_eval_available_5d,forward_eval_available_10d,forward_eval_available_20d,forward_eval_available_30d,forward_eval_available_40d,P2_top_decile_vs_00631L_20d,P2_bottom_decile_vs_00631L_20d,shape_improving_vs_0050,shape_fading_vs_0050,shape_quick_burst_vs_0050,shape_short_bounce_fade_risk_vs_0050,shape_slow_start_vs_0050,shape_durable_vs_0050,shape_40d_decay_reference_vs_0050,shape_improving_vs_00631L,shape_fading_vs_00631L,shape_quick_burst_vs_00631L,shape_short_bounce_fade_risk_vs_00631L,shape_slow_start_vs_00631L,shape_durable_vs_00631L,shape_40d_decay_reference_vs_00631L,large_down_day_count_20d_proxy,large_down_day_count_30d_proxy,blowoff_turnover_without_price_continuation_proxy,large_down_day_flag_20d_proxy,large_down_day_flag_30d_proxy,large_down_day_source_quality,blowoff_turnover_source_quality,risk_bucket,risk_bucket_source_quality,MA20,MA20_position,MA60,MA60_position,MA120,MA120_position,layer1_b20_pass_through_eligible,layer1_b30_pass_through_eligible,layer2_context_only,layer2_hard_gate_allowed,layer2_row_deleted,pass_through_primary_basis,capital_support_context,capital_warning_context,rs_support_context,rs_warning_context,risk_penalty_context,layer2_support_signal_count,layer2_warning_signal_count,layer2_context_role,diagnostic_only,not_live_rule,forward_returns_live_rule_usage,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,momentum_relative_spread_widening_context,momentum_stable_rise_context,momentum_capital_support_context,momentum_overheat_late_stage_penalty_context,momentum_sleeve_candidate_feature,pullback_prior_strength_context,pullback_current_correction_context,pullback_ma_bias_position_context,pullback_risk_cooling_context,pullback_breakdown_warning_context,pullback_repair_sleeve_candidate_feature,overlap_sleeve_candidate_feature,neither_sleeve_candidate_feature,layer3_sleeve_feature_contract_only,layer3_selector_output,layer4_31pool_authorized,layer5_decision_authorized,momentum_continuation_score,pullback_repair_score,overlap_reacceleration_score,neutral_quality_liquidity_score,exhaustion_risk_score,breakdown_risk_score,momentum_continuation_tier,momentum_continuation_high_confidence,momentum_continuation_medium_or_high_confidence,pullback_repair_tier,pullback_repair_high_confidence,pullback_repair_medium_or_high_confidence,overlap_reacceleration_tier,overlap_reacceleration_high_confidence,overlap_reacceleration_medium_or_high_confidence,neutral_quality_liquidity_tier,neutral_quality_liquidity_high_confidence,neutral_quality_liquidity_medium_or_high_confidence,exhaustion_risk_tier,exhaustion_risk_high_confidence,exhaustion_risk_medium_or_high_confidence,breakdown_risk_tier,breakdown_risk_high_confidence,breakdown_risk_medium_or_high_confidence,broad_labels_are_overlapping,label_is_filter,layer3_broad_context_only,layer3_hard_gate_allowed,layer3_row_deleted,selector_output,forward_return_as_rule,future_return_as_rule,opportunity_label_count,two_plus_opportunity_labels,layer4_redesign_base_eligible,fallback_00631L_reference_only,fallback_00631L_is_ordinary_stock_pool_member,layer4_risk_penalty_score,layer4_broad_opportunity_net_score,layer4_c_quota_base_score,layer4_retention_constrained_score,layer4_risk_aware_score,high_exhaustion_or_breakdown_context,low_quality_low_liquidity_high_risk_exclusion_candidate,low_quality_low_liquidity_high_risk_exclusion_applied,theme_dynamic_slot_status,theme_dynamic_slot_applied,ai_theme_slot_hard_quota_applied,layer4_pool_size_sensitivity_contract_only,layer4_selector_output,portfolio_replay_executed,ready_for_strategy_replay,_pool_quota_bucket,layer4_pool_variant,pool_variant_family,pool_size_target,pool_selection_score,pool_selection_score_col,pool_selection_policy,retention_constraint_applied,risk_constraint_applied,pool_rank,pool_shortfall_count,pool_selection_basis,bounded_diagnostic_pool_only,pool_size_reference_upper_bound,pool_size_reference_current_31,layer2_layer3_hard_gate_outside_pool_variant,layer4_pool_role,is_layer4_primary_pool,reference_only,not_primary_pool,layer4_primary_pool_size,layer4_primary_policy,layer4_31_role,layer4_100_role,layer5_selector_output
2015-01-09|2330,2015-01-09,2330,台積電,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,1.0,1.0,1.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,0.0322140848672166,0.0103838145396328,0.0435406574087899,0.1066029336306183,0.0278595054477777,0.0921940118665793,0.0664448589938546,0.1633014533897175,0.0665888212434884,0.1458413293238765,True,True,True,True,True,,,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4564999999999999,0.22,0.1,0.94522,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3747209333333333,0.5215047546666667,0.686908568,0.4359781813333332,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4359781813333332,layer4_risk_aware_score,risk_aware,True,True,1,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2454,2015-01-09,2454,聯發科,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,2.0,2.0,2.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0157887289326364,-0.0376189992602202,-0.0252292226988684,0.0378330535229599,-0.0577472966075196,0.006587209811282,-0.0761566824791083,0.0206999119167545,-0.1642039362803676,-0.0849514281999795,True,True,True,True,True,,,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4559648829431438,0.2195986622073578,0.0995317725752508,0.9443477591973244,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.37426292664437,0.5211042505863991,0.6866712371638796,0.4356362244102563,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4356362244102563,layer4_risk_aware_score,risk_aware,True,True,2,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|3481,2015-01-09,3481,群創,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,3.0,3.0,3.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0258882605485616,-0.0477185308761454,-0.1040250853062064,-0.0409628090843781,-0.0988284831805095,-0.0344939767617078,-0.1310942312691161,-0.0342376368732532,-0.1078514772639742,-0.0285989691835861,True,True,True,True,True,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4554297658862876,0.2191973244147157,0.0990635451505017,0.9434755183946488,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3738049199554069,0.5207037465061315,0.6864339063277592,0.4352942674871795,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4352942674871795,layer4_risk_aware_score,risk_aware,True,True,3,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2317,2015-01-09,2317,鴻海,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,4.0,4.0,4.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0179196395741603,-0.039749909901744,-0.0235199930959117,0.0395422831259165,-0.0300561187434051,0.0342783876753964,-0.0590016080926779,0.0378549863031849,-0.0361029223506794,0.0431495857297086,True,True,True,True,True,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4548946488294315,0.2187959866220735,0.0985953177257525,0.9426032775919732,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3733469132664436,0.520303242425864,0.6861965754916388,0.4349523105641025,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4349523105641025,layer4_risk_aware_score,risk_aware,True,True,4,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2409,2015-01-09,2409,友達,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,5.0,5.0,5.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0280118126721136,-0.0498420829996973,-0.0953056515867727,-0.0322433753649443,-0.1095749439269703,-0.0452404375081686,-0.2107435234184083,-0.1138869290225453,-0.1750812069937039,-0.0958286989133158,True,True,True,True,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4543595317725752,0.2183946488294314,0.0981270903010033,0.9417310367892976,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3728889065774804,0.5199027383455963,0.6859592446555184,0.4346103536410255,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4346103536410255,layer4_risk_aware_score,risk_aware,True,True,5,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|3474,2015-01-09,3474,華亞科,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,6.0,6.0,6.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0616025462628472,-0.083432816590431,-0.098752976462669,-0.0356907002408406,-0.0862434491669039,-0.0219089427481022,-0.1168935509970073,-0.0200369566011444,-0.1698412731823416,-0.0905887651019535,True,True,True,True,True,,,False,False,False,False,False,False,True,True,False,False,False,True,False,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.453824414715719,0.2179933110367893,0.0976588628762542,0.940858795986622,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3724308998885172,0.5195022342653288,0.685721913819398,0.4342683967179486,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4342683967179486,layer4_risk_aware_score,risk_aware,True,True,6,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|3008,2015-01-09,3008,大立光,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,7.0,7.0,7.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,0.0290567943964933,0.0072265240689095,0.1452117889306678,0.2082740651524962,0.0739431895911633,0.1382776960099649,0.0843361716612867,0.1811927660571496,0.1234519415394446,0.2027044496198327,True,True,True,True,True,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4532892976588629,0.2175919732441471,0.097190635451505,0.9399865551839466,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.371972893199554,0.5191017301850613,0.6854845829832777,0.4339264397948718,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,neutral_quality_liquidity_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4339264397948718,layer4_risk_aware_score,risk_aware,True,True,7,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|3673,2015-01-09,3673,TPK-KY,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,8.0,8.0,8.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0754820317063137,-0.0973123020338975,-0.0124825441191154,0.0505797321027129,-0.0558923513818184,0.0084421550369832,-0.0235141139141172,0.0733424804817456,0.0328475748687271,0.1121000829491152,True,True,True,True,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4527541806020067,0.217190635451505,0.0967224080267558,0.9391143143812708,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3715148865105908,0.5187012261047937,0.6852472521471571,0.4335844828717948,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,momentum_continuation_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4335844828717948,layer4_risk_aware_score,risk_aware,True,True,8,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2498,2015-01-09,2498,宏達電,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,9.0,9.0,9.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,0.0064476467873457,-0.015382623540238,0.015505159224038,0.0785674354458664,0.031641272289246,0.0959757787080477,-0.0803381180130029,0.0165184763828599,-0.0892703961828932,-0.0100178881025051,True,True,True,True,True,,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4522190635451504,0.2167892976588628,0.0962541806020066,0.9382420735785952,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3710568798216275,0.518300722024526,0.6850099213110368,0.4332425259487178,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,momentum_continuation_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4332425259487178,layer4_risk_aware_score,risk_aware,True,True,9,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2474,2015-01-09,2474,可成,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,10.0,10.0,10.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,0.0196299467343515,-0.0022003235932321,0.0673334581111606,0.130395734332989,0.0548129734021236,0.1191474798209253,0.0688007267140771,0.16565732110994,0.0820995031281826,0.1613520112085706,True,True,True,True,True,,,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4516839464882943,0.2163879598662207,0.0957859531772575,0.9373698327759198,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3705988731326644,0.5179002179442587,0.6847725904749165,0.432900569025641,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,momentum_continuation_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.432900569025641,layer4_risk_aware_score,risk_aware,True,True,10,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
2015-01-09|2408,2015-01-09,2408,南亞科,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,11.0,11.0,11.0,1,0.5016666666666667,False,False,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,False,True,,,,,,,,,,,0.0,False,False,1.0,False,False,False,False,False,False,True,True,False,,False,False,-0.0617789131058806,-0.0836091834334644,-0.0632402528547072,-0.0001779766328788,-0.0639960316813913,0.0003384747374103,-0.0752079878828727,0.0216486065129901,-0.0959687612145915,-0.0167162531342034,True,True,True,True,True,,,False,True,False,False,False,False,True,True,False,False,False,True,False,True,0.0,0.0,False,False,False,diagnostic_price_proxy_threshold_not_formal,diagnostic_traded_value_proxy_threshold_not_formal,,blocked_no_accepted_pit_risk_bucket,,,,,,,True,True,True,False,False,layer0_compact_active_universe_plus_layer1_quality_floor_b30,True,False,False,False,False,1,0,annotation_support_warning_penalty_only,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.4511488294314381,0.2159866220735785,0.0953177257525083,0.9364975919732442,0.0435,0.6599999999999999,medium,False,True,none,False,False,none,False,False,high,True,True,none,False,False,medium,False,True,True,False,True,False,False,False,False,False,2,True,True,False,False,0.2483999999999999,0.3701408664437012,0.5174997138639911,0.684535259638796,0.4325586121025641,True,False,False,blocked_no_accepted_theme_slot_context,False,False,True,False,False,False,momentum_continuation_min,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,0.4325586121025641,layer4_risk_aware_score,risk_aware,True,True,11,0,C-quota broad label redesign; live-feasible ranking/quota context only; no future-return rule construction,True,False,True,False,high_confidence_31_subpool_reference,False,True,True,80,80_stock_primary_risk_aware_retention_constrained_c_quota,high_confidence_subpool_reference_not_primary,,False
